zip5,county,county_fips,metro,cd_2026_map,cd_share,cd_seed_2024_map,state_senate,state_house,changed
32703,Orange,12095,orlando,FL-10,0.562,FL-7|FL-11,SD-15|SD-10,HD-39,yes
32703,Orange,12095,orlando,FL-11,0.347,FL-7|FL-11,SD-15|SD-10,HD-39,yes
32703,Orange,12095,orlando,FL-7,0.091,FL-7|FL-11,SD-15|SD-10,HD-39,yes
32709,Orange,12095,orlando,FL-8,1.0,FL-8|FL-9,SD-17,HD-35,yes
32712,Orange,12095,orlando,FL-11,0.999,FL-11,SD-15,HD-39,no
32751,Orange,12095,orlando,FL-10,0.747,FL-7|FL-10,SD-10|SD-15,HD-42|HD-38,no
32751,Orange,12095,orlando,FL-7,0.253,FL-7|FL-10,SD-10|SD-15,HD-42|HD-38,no
32768,Orange,12095,orlando,FL-11,1.0,FL-11,SD-15,HD-39,no
32789,Orange,12095,orlando,FL-10,1.0,FL-10,SD-10,HD-42,no
32798,Orange,12095,orlando,FL-11,1.0,FL-11,SD-15,HD-39,no
32801,Orange,12095,orlando,FL-10,1.0,FL-10,SD-17|SD-15,HD-42|HD-41,no
32803,Orange,12095,orlando,FL-10,1.0,FL-10,SD-17|SD-10,HD-42,no
32804,Orange,12095,orlando,FL-10,1.0,FL-10,SD-15,HD-40|HD-42,no
32805,Orange,12095,orlando,FL-10,1.0,FL-10,SD-15,HD-41|HD-42,no
32806,Orange,12095,orlando,FL-10,1.0,FL-9|FL-10,SD-17|SD-15,HD-42,yes
32807,Orange,12095,orlando,FL-10,1.0,FL-10,SD-17,HD-43|HD-37|HD-42,no
32808,Orange,12095,orlando,FL-10,1.0,FL-10,SD-15,HD-40|HD-41,no
32809,Orange,12095,orlando,FL-10,0.432,FL-9|FL-10,SD-15|SD-17|SD-25,HD-44|HD-41|HD-42,yes
32809,Orange,12095,orlando,FL-11,0.386,FL-9|FL-10,SD-15|SD-17|SD-25,HD-44|HD-41|HD-42,yes
32809,Orange,12095,orlando,FL-9,0.183,FL-9|FL-10,SD-15|SD-17|SD-25,HD-44|HD-41|HD-42,yes
32810,Orange,12095,orlando,FL-10,0.998,FL-10,SD-15|SD-10,HD-40|HD-42,no
32811,Orange,12095,orlando,FL-10,1.0,FL-10,SD-15,HD-41,no
32812,Orange,12095,orlando,FL-10,0.533,FL-9|FL-10,SD-17,HD-42|HD-43,no
32812,Orange,12095,orlando,FL-9,0.467,FL-9|FL-10,SD-17,HD-42|HD-43,no
32814,Orange,12095,orlando,FL-10,1.0,FL-10,SD-17,HD-42,no
32816,Orange,12095,orlando,FL-8,0.995,FL-10,SD-17,HD-37,yes
32817,Orange,12095,orlando,FL-10,0.876,FL-10,SD-17,HD-37,yes
32817,Orange,12095,orlando,FL-8,0.124,FL-10,SD-17,HD-37,yes
32818,Orange,12095,orlando,FL-10,1.0,FL-10|FL-11,SD-15,HD-40,yes
32819,Orange,12095,orlando,FL-11,0.727,FL-10|FL-11,SD-15|SD-25|SD-13,HD-44|HD-41|HD-45,no
32819,Orange,12095,orlando,FL-10,0.273,FL-10|FL-11,SD-15|SD-25|SD-13,HD-44|HD-41|HD-45,no
32820,Orange,12095,orlando,FL-8,1.0,FL-10,SD-17,HD-35|HD-37,yes
32821,Orange,12095,orlando,FL-11,1.0,FL-9|FL-11,SD-25|SD-13,HD-44|HD-45,yes
32822,Orange,12095,orlando,FL-10,0.678,FL-9|FL-10,SD-17,HD-43,no
32822,Orange,12095,orlando,FL-9,0.322,FL-9|FL-10,SD-17,HD-43,no
32824,Orange,12095,orlando,FL-9,0.779,FL-9,SD-25|SD-17,HD-44|HD-47|HD-35,yes
32824,Orange,12095,orlando,FL-11,0.221,FL-9,SD-25|SD-17,HD-44|HD-47|HD-35,yes
32825,Orange,12095,orlando,FL-10,0.646,FL-10,SD-17,HD-43|HD-35,yes
