OID_ZCTA5_20|GEOID_ZCTA5_20|NAMELSAD_ZCTA5_20|AREALAND_ZCTA5_20|AREAWATER_ZCTA5_20|MTFCC_ZCTA5_20|CLASSFP_ZCTA5_20|FUNCSTAT_ZCTA5_20|OID_TABBLOCK_20|GEOID_TABBLOCK_20|NAMELSAD_TABBLOCK_20|AREALAND_TABBLOCK_20|AREAWATER_TABBLOCK_20|MTFCC_TABBLOCK_20|FUNCSTAT_TABBLOCK_20|AREALAND_PART|AREAWATER_PART
212000000000000|33101|ZCTA5 33101|20000|0|G6350|B5|S|210701005000000|120860101001000|Block 1000|6100|0|G5040|S|6100|0
212000000000001|33101|ZCTA5 33101|20000|0|G6350|B5|S|210701005000001|120860101001001|Block 1001|3000|0|G5040|S|3000|0
212000000000002|33101|ZCTA5 33101|20000|0|G6350|B5|S|210701005000002|120860101001002|Block 1002|500|0|G5040|S|500|0
212000000000003|33101|ZCTA5 33101|20000|0|G6350|B5|S|210701005000003|120870101001000|Block 1000|400|0|G5040|S|400|0
||||||||210701005000004|120860101001003|Block 1003|900000|0|G5040|S|900000|0
||||||||210701005000005|120110201001001|Block 1001|900000|0|G5040|S|900000|0
212000000000006|33301|ZCTA5 33301|9000|0|G6350|B5|S|210701005000006|120110201001000|Block 1000|8000|0|G5040|S|8000|0
212000000000007|33040|ZCTA5 33040|7000|0|G6350|B5|S|210701005000007|120870202001000|Block 1000|5000|0|G5040|S|5000|0
212000000000008|33040|ZCTA5 33040|7000|0|G6350|B5|S|210701005000008|120860202001000|Block 1000|1000|0|G5040|S|1000|0
212000000000009|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000009|120950301001000|Block 1000|4800|0|G5040|S|4800|0
212000000000010|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000010|120950301001001|Block 1001|4760|0|G5040|S|4760|0
212000000000011|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000011|120950301001002|Block 1002|4760|0|G5040|S|4760|0
212000000000012|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000012|120950301001003|Block 1003|4760|0|G5040|S|4760|0
212000000000013|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000013|120950301001004|Block 1004|4760|0|G5040|S|4760|0
212000000000014|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000014|120950301001005|Block 1005|4760|0|G5040|S|4760|0
212000000000015|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000015|120950301001006|Block 1006|4760|0|G5040|S|4760|0
212000000000016|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000016|120950301001007|Block 1007|4760|0|G5040|S|4760|0
212000000000017|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000017|120950301001008|Block 1008|4760|0|G5040|S|4760|0
212000000000018|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000018|120950301001009|Block 1009|4760|0|G5040|S|4760|0
212000000000019|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000019|120950301001010|Block 1010|4760|0|G5040|S|4760|0
212000000000020|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000020|120950301001011|Block 1011|4760|0|G5040|S|4760|0
212000000000021|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000021|120950301001012|Block 1012|4760|0|G5040|S|4760|0
212000000000022|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000022|120950301001013|Block 1013|4760|0|G5040|S|4760|0
212000000000023|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000023|120950301001014|Block 1014|4760|0|G5040|S|4760|0
212000000000024|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000024|120950301001015|Block 1015|4760|0|G5040|S|4760|0
212000000000025|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000025|120950301001016|Block 1016|4760|0|G5040|S|4760|0
212000000000026|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000026|120950301001017|Block 1017|4760|0|G5040|S|4760|0
212000000000027|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000027|120950301001018|Block 1018|4760|0|G5040|S|4760|0
212000000000028|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000028|120950301001019|Block 1019|4760|0|G5040|S|4760|0
212000000000029|32801|ZCTA5 32801|150000|0|G6350|B5|S|210701005000029|120950301001020|Block 1020|4760|0|G5040|S|4760|0
